created_at,entry_id,field1,field2,field3,field4,field5
2017-06-30 05:49:16 UTC,335117,0.00,0.00,0.89,0.00,0.00
2017-06-30 05:50:21 UTC,335118,0.00,0.00,0.89,0.00,0.00
2017-06-30 05:51:27 UTC,335119,45.00,0.00,0.89,0.00,0.00
2017-06-30 05:52:32 UTC,335120,45.00,0.00,0.45,0.00,0.00
2017-06-30 05:53:37 UTC,335121,0.00,0.45,1.34,0.00,0.00
2017-06-30 05:54:47 UTC,335122,0.00,0.45,1.34,0.00,0.00
2017-06-30 05:55:48 UTC,335123,0.00,0.00,1.34,0.00,0.00
2017-06-30 05:56:53 UTC,335124,45.00,0.00,1.34,0.00,0.00
2017-06-30 05:57:58 UTC,335125,315.00,0.00,1.34,0.00,0.00
2017-06-30 05:59:03 UTC,335126,0.00,0.00,1.34,0.00,0.00
2017-06-30 06:00:09 UTC,335127,0.00,0.45,1.34,0.00,0.00
2017-06-30 06:01:14 UTC,335128,0.00,0.00,1.34,0.00,0.00
2017-06-30 06:03:25 UTC,335129,0.00,0.89,1.34,0.00,0.00
2017-06-30 06:04:30 UTC,335130,270.00,0.89,1.34,0.00,0.00
2017-06-30 06:05:35 UTC,335131,0.00,0.45,1.34,0.00,0.00
2017-06-30 06:06:41 UTC,335132,45.00,0.45,1.34,0.00,0.00
2017-06-30 06:07:46 UTC,335133,0.00,0.45,1.34,0.00,0.00
2017-06-30 06:08:51 UTC,335134,0.00,0.89,1.79,0.00,0.00
2017-06-30 06:09:56 UTC,335135,45.00,0.89,1.79,0.00,0.00
2017-06-30 06:11:01 UTC,335136,45.00,0.89,1.79,0.00,0.00
2017-06-30 06:12:07 UTC,335137,0.00,1.34,1.79,0.00,0.00
2017-06-30 06:13:12 UTC,335138,135.00,0.89,1.79,0.00,0.00
2017-06-30 06:14:17 UTC,335139,0.00,0.89,1.79,0.00,0.00
2017-06-30 06:15:23 UTC,335140,45.00,0.89,1.79,0.00,0.00
2017-06-30 06:16:28 UTC,335141,0.00,0.45,1.79,0.00,0.00
2017-06-30 06:17:33 UTC,335142,45.00,0.45,1.79,0.00,0.00
2017-06-30 06:18:38 UTC,335143,0.00,0.89,1.79,0.00,0.00
2017-06-30 06:19:44 UTC,335144,45.00,0.45,1.79,0.00,0.00
2017-06-30 06:20:49 UTC,335145,0.00,0.00,1.34,0.00,0.00
2017-06-30 06:21:54 UTC,335146,0.00,0.45,1.34,0.00,0.00
2017-06-30 06:23:00 UTC,335147,45.00,0.89,1.34,0.00,0.00
2017-06-30 06:24:05 UTC,335148,0.00,0.89,1.34,0.00,0.00
2017-06-30 06:25:10 UTC,335149,0.00,0.00,1.34,0.00,0.00
2017-06-30 06:26:15 UTC,335150,45.00,0.00,1.34,0.00,0.00
2017-06-30 06:27:21 UTC,335151,45.00,0.45,1.34,0.00,0.00
2017-06-30 06:28:26 UTC,335152,0.00,0.00,1.34,0.00,0.00
2017-06-30 06:29:31 UTC,335153,0.00,0.45,0.89,0.00,0.00
2017-06-30 06:30:36 UTC,335154,45.00,0.45,1.34,0.00,0.00
2017-06-30 06:31:42 UTC,335155,0.00,0.45,1.34,0.00,0.00
2017-06-30 06:32:48 UTC,335156,45.00,0.89,1.79,0.00,0.00
2017-06-30 06:33:52 UTC,335157,0.00,0.45,1.79,0.00,0.00
2017-06-30 06:34:58 UTC,335158,315.00,0.45,1.79,0.00,0.00
2017-06-30 06:36:03 UTC,335159,45.00,0.89,1.79,0.00,0.00
2017-06-30 06:37:08 UTC,335160,0.00,0.45,1.79,0.00,0.00
2017-06-30 06:38:13 UTC,335161,0.00,0.45,1.79,0.00,0.00
2017-06-30 06:39:19 UTC,335162,0.00,0.45,1.34,0.00,0.00
2017-06-30 06:40:24 UTC,335163,0.00,0.45,1.34,0.00,0.00
2017-06-30 06:41:29 UTC,335164,0.00,0.45,1.34,0.00,0.00
2017-06-30 06:42:34 UTC,335165,0.00,0.45,1.34,0.00,0.00
2017-06-30 06:43:40 UTC,335166,315.00,0.45,1.34,0.00,0.00
2017-06-30 06:44:45 UTC,335167,0.00,0.45,1.34,0.00,0.00
2017-06-30 06:45:50 UTC,335168,0.00,0.00,1.34,0.00,0.00
2017-06-30 06:46:56 UTC,335169,45.00,0.45,1.34,0.00,0.00
2017-06-30 06:48:01 UTC,335170,45.00,0.45,0.89,0.00,0.00
2017-06-30 06:49:06 UTC,335171,0.00,0.00,0.89,0.00,0.00
2017-06-30 06:50:11 UTC,335172,45.00,0.45,1.34,0.00,0.00
2017-06-30 06:51:17 UTC,335173,315.00,0.45,1.34,0.00,0.00
2017-06-30 06:52:22 UTC,335174,0.00,0.45,1.34,0.00,0.00
2017-06-30 06:53:27 UTC,335175,45.00,0.00,1.34,0.00,0.00
2017-06-30 06:55:38 UTC,335176,0.00,0.45,1.34,0.00,0.00
2017-06-30 06:56:43 UTC,335177,45.00,0.89,1.34,0.00,0.00
2017-06-30 06:57:48 UTC,335178,0.00,0.89,1.34,0.00,0.00
2017-06-30 06:58:54 UTC,335179,0.00,0.45,1.34,0.00,0.00
2017-06-30 06:59:59 UTC,335180,0.00,0.45,1.34,0.00,0.00
2017-06-30 07:01:04 UTC,335181,0.00,0.45,1.34,0.00,0.00
2017-06-30 07:02:10 UTC,335182,0.00,0.45,1.34,0.00,0.00
2017-06-30 07:03:15 UTC,335183,315.00,0.00,1.34,0.00,0.00
2017-06-30 07:04:20 UTC,335184,45.00,0.45,1.34,0.00,0.00
2017-06-30 07:05:25 UTC,335185,0.00,0.45,1.34,0.00,0.00
2017-06-30 07:06:30 UTC,335186,45.00,0.00,1.34,0.00,0.00
2017-06-30 07:07:37 UTC,335187,45.00,0.45,1.34,0.00,0.00
2017-06-30 07:08:41 UTC,335188,0.00,0.45,1.34,0.00,0.00
2017-06-30 07:09:46 UTC,335189,45.00,0.00,1.34,0.00,0.00
2017-06-30 07:10:52 UTC,335190,270.00,0.00,1.34,0.00,0.00
2017-06-30 07:11:57 UTC,335191,0.00,0.00,1.34,0.00,0.00
2017-06-30 07:13:02 UTC,335192,225.00,0.45,1.34,0.00,0.00
2017-06-30 07:14:08 UTC,335193,0.00,0.00,0.89,0.00,0.00
2017-06-30 07:15:14 UTC,335194,0.00,0.00,0.89,0.00,0.00
2017-06-30 07:16:18 UTC,335195,0.00,0.00,0.89,0.00,0.00
2017-06-30 07:17:23 UTC,335196,0.00,0.00,0.89,0.00,0.00
2017-06-30 07:18:29 UTC,335197,45.00,0.00,0.89,0.00,0.00
2017-06-30 07:19:34 UTC,335198,135.00,0.00,0.89,0.00,0.00
2017-06-30 07:20:39 UTC,335199,315.00,0.00,0.89,0.00,0.00
2017-06-30 07:21:44 UTC,335200,0.00,0.00,0.89,0.00,0.00
2017-06-30 07:22:50 UTC,335201,225.00,0.00,0.89,0.00,0.00
2017-06-30 07:23:55 UTC,335202,135.00,0.00,0.89,0.00,0.00
2017-06-30 07:25:00 UTC,335203,0.00,0.00,0.89,0.00,0.00
2017-06-30 07:27:11 UTC,335204,45.00,0.00,0.45,0.00,0.00
2017-06-30 07:28:16 UTC,335205,315.00,0.00,0.45,0.00,0.00
2017-06-30 07:29:21 UTC,335206,270.00,0.00,0.45,0.00,0.00
2017-06-30 07:30:27 UTC,335207,315.00,0.00,0.45,0.00,0.00
2017-06-30 07:31:32 UTC,335208,315.00,0.00,0.45,0.00,0.00
2017-06-30 07:32:37 UTC,335209,270.00,0.00,0.45,0.00,0.00
2017-06-30 07:33:42 UTC,335210,270.00,0.00,0.45,0.00,0.00
2017-06-30 07:34:48 UTC,335211,315.00,0.00,0.45,0.00,0.00
2017-06-30 07:35:53 UTC,335212,225.00,0.00,0.45,0.00,0.00
2017-06-30 07:37:03 UTC,335213,225.00,0.00,0.45,0.00,0.00
2017-06-30 07:38:03 UTC,335214,90.00,0.00,0.45,0.00,0.00
2017-06-30 07:39:09 UTC,335215,0.00,0.00,0.45,0.00,0.00
2017-06-30 07:40:14 UTC,335216,315.00,0.00,0.45,0.00,0.00
2017-06-30 07:41:19 UTC,335217,270.00,0.00,0.45,0.00,0.00
2017-06-30 07:42:26 UTC,335218,225.00,0.00,0.45,0.00,0.00
2017-06-30 07:43:30 UTC,335219,180.00,0.45,0.89,0.00,0.00
2017-06-30 07:44:35 UTC,335220,270.00,0.45,0.89,0.00,0.00
2017-06-30 07:45:40 UTC,335221,225.00,0.00,0.89,0.00,0.00
2017-06-30 07:46:46 UTC,335222,225.00,0.00,0.89,0.00,0.00
2017-06-30 07:47:51 UTC,335223,270.00,0.45,1.34,0.00,0.00
2017-06-30 07:48:56 UTC,335224,270.00,0.00,1.34,0.00,0.00
2017-06-30 07:50:01 UTC,335225,270.00,0.00,1.34,0.00,0.00
2017-06-30 07:51:07 UTC,335226,270.00,0.00,1.34,0.00,0.00
2017-06-30 07:52:12 UTC,335227,225.00,0.00,1.34,0.00,0.00
2017-06-30 07:53:17 UTC,335228,315.00,0.00,0.89,0.00,0.00
2017-06-30 07:54:22 UTC,335229,315.00,0.00,0.45,0.00,0.00
2017-06-30 07:55:28 UTC,335230,180.00,0.00,0.45,0.00,0.00
2017-06-30 07:56:33 UTC,335231,225.00,0.00,0.45,0.00,0.00
2017-06-30 07:57:38 UTC,335232,270.00,0.00,0.45,0.00,0.00
2017-06-30 07:58:44 UTC,335233,225.00,0.00,0.45,0.00,0.00
2017-06-30 07:59:49 UTC,335234,225.00,0.00,0.45,0.00,0.00
2017-06-30 08:00:59 UTC,335235,0.00,0.00,0.45,0.00,0.00
2017-06-30 08:02:00 UTC,335236,45.00,0.00,0.89,0.00,0.00
2017-06-30 08:03:05 UTC,335237,0.00,0.00,0.89,0.00,0.00
2017-06-30 08:04:10 UTC,335238,225.00,0.00,0.89,0.00,0.00
2017-06-30 08:05:15 UTC,335239,270.00,0.00,0.89,0.00,0.00
2017-06-30 08:06:21 UTC,335240,0.00,0.00,0.89,0.00,0.00
2017-06-30 08:07:27 UTC,335241,0.00,0.00,0.89,0.00,0.00
2017-06-30 08:08:31 UTC,335242,225.00,0.00,0.45,0.00,0.00
2017-06-30 08:09:36 UTC,335243,225.00,0.00,0.89,0.00,0.00
2017-06-30 08:10:42 UTC,335244,225.00,0.45,0.89,0.00,0.00
2017-06-30 08:11:47 UTC,335245,225.00,0.00,0.89,0.00,0.00
2017-06-30 08:12:52 UTC,335246,270.00,0.00,0.89,0.00,0.00
2017-06-30 08:13:57 UTC,335247,270.00,0.00,0.89,0.00,0.00
2017-06-30 08:15:03 UTC,335248,225.00,0.00,0.89,0.00,0.00
2017-06-30 08:16:09 UTC,335249,225.00,0.00,0.45,0.00,0.00
2017-06-30 08:17:13 UTC,335250,225.00,0.00,0.45,0.00,0.00
2017-06-30 08:18:19 UTC,335251,225.00,0.00,0.45,0.00,0.00
2017-06-30 08:19:24 UTC,335252,225.00,0.00,0.45,0.00,0.00
2017-06-30 08:20:29 UTC,335253,270.00,0.00,0.45,0.00,0.00
2017-06-30 08:21:34 UTC,335254,270.00,0.00,0.45,0.00,0.00
2017-06-30 08:22:40 UTC,335255,270.00,0.00,0.45,0.00,0.00
2017-06-30 08:23:45 UTC,335256,270.00,0.00,0.45,0.00,0.00
2017-06-30 08:24:50 UTC,335257,270.00,0.00,0.45,0.00,0.00
2017-06-30 08:25:55 UTC,335258,225.00,0.00,0.45,0.00,0.00
2017-06-30 08:27:01 UTC,335259,270.00,0.00,0.45,0.00,0.00
2017-06-30 08:28:06 UTC,335260,270.00,0.00,0.45,0.00,0.00
2017-06-30 08:29:16 UTC,335261,225.00,0.00,0.00,0.00,0.00
2017-06-30 08:30:17 UTC,335262,270.00,0.00,0.45,0.00,0.00
2017-06-30 08:31:22 UTC,335263,225.00,0.00,0.45,0.00,0.00
2017-06-30 08:32:27 UTC,335264,225.00,0.00,0.45,0.00,0.00
2017-06-30 08:33:32 UTC,335265,270.00,0.00,0.45,0.00,0.00
2017-06-30 08:34:38 UTC,335266,225.00,0.00,0.45,0.00,0.00
2017-06-30 08:35:43 UTC,335267,225.00,0.00,0.45,0.00,0.00
2017-06-30 08:36:48 UTC,335268,225.00,0.00,0.00,0.00,0.00
2017-06-30 08:37:53 UTC,335269,270.00,0.00,0.00,0.00,0.00
2017-06-30 08:40:06 UTC,335270,225.00,0.00,0.45,0.00,0.00
2017-06-30 08:41:09 UTC,335271,225.00,0.00,0.45,0.00,0.00
2017-06-30 08:42:15 UTC,335272,225.00,0.00,0.45,0.00,0.00
2017-06-30 08:43:20 UTC,335273,225.00,0.00,0.45,0.00,0.00
2017-06-30 08:44:25 UTC,335274,225.00,0.00,0.45,0.00,0.00
2017-06-30 08:45:31 UTC,335275,225.00,0.00,0.00,0.00,0.00
2017-06-30 08:46:36 UTC,335276,225.00,0.00,0.00,0.00,0.00
2017-06-30 08:47:41 UTC,335277,225.00,0.00,0.45,0.00,0.00
2017-06-30 08:48:46 UTC,335278,270.00,0.00,0.45,0.00,0.00
2017-06-30 08:49:52 UTC,335279,270.00,0.00,0.45,0.00,0.00
2017-06-30 08:50:57 UTC,335280,270.00,0.00,0.45,0.00,0.00
2017-06-30 08:52:02 UTC,335281,270.00,0.00,0.45,0.00,0.00
2017-06-30 08:53:08 UTC,335282,270.00,0.00,0.45,0.00,0.00
2017-06-30 08:54:12 UTC,335283,225.00,0.00,0.45,0.00,0.00
2017-06-30 08:55:18 UTC,335284,225.00,0.00,0.45,0.00,0.00
2017-06-30 08:56:23 UTC,335285,315.00,0.00,0.45,0.00,0.00
2017-06-30 08:57:28 UTC,335286,270.00,0.00,0.45,0.00,0.00
2017-06-30 08:58:34 UTC,335287,270.00,0.00,0.45,0.00,0.00
2017-06-30 08:59:39 UTC,335288,225.00,0.00,0.45,0.00,0.00
2017-06-30 09:00:44 UTC,335289,225.00,0.00,0.45,0.00,0.00
2017-06-30 09:01:50 UTC,335290,270.00,0.00,0.45,0.00,0.00
2017-06-30 09:02:55 UTC,335291,270.00,0.00,0.45,0.00,0.00
2017-06-30 09:04:00 UTC,335292,225.00,0.00,0.45,0.00,0.00
2017-06-30 09:05:05 UTC,335293,270.00,0.00,0.45,0.00,0.00
2017-06-30 09:06:11 UTC,335294,225.00,0.00,0.45,0.00,0.00
2017-06-30 09:07:16 UTC,335295,225.00,0.00,0.45,0.00,0.00
2017-06-30 09:08:21 UTC,335296,225.00,0.00,0.45,0.00,0.00
2017-06-30 09:09:26 UTC,335297,225.00,0.00,0.00,0.00,0.00
2017-06-30 09:10:32 UTC,335298,270.00,0.00,0.00,0.00,0.00
2017-06-30 09:11:37 UTC,335299,270.00,0.00,0.00,0.00,0.00
2017-06-30 09:12:42 UTC,335300,225.00,0.00,0.00,0.00,0.00
2017-06-30 09:13:47 UTC,335301,270.00,0.00,0.00,0.00,0.00
2017-06-30 09:14:53 UTC,335302,270.00,0.00,0.00,0.00,0.00
2017-06-30 09:15:58 UTC,335303,270.00,0.00,0.00,0.00,0.00
2017-06-30 09:18:09 UTC,335304,225.00,0.00,0.00,0.00,0.00
2017-06-30 09:19:14 UTC,335305,225.00,0.00,0.00,0.00,0.00
2017-06-30 09:20:19 UTC,335306,270.00,0.00,0.45,0.00,0.00
2017-06-30 09:21:26 UTC,335307,270.00,0.00,0.45,0.00,0.00
2017-06-30 09:22:34 UTC,335308,225.00,0.00,0.45,0.00,0.00
2017-06-30 09:23:35 UTC,335309,225.00,0.00,0.45,0.00,0.00
2017-06-30 09:24:41 UTC,335310,225.00,0.00,0.45,0.00,0.00
2017-06-30 09:25:46 UTC,335311,270.00,0.00,0.45,0.00,0.00
2017-06-30 09:26:51 UTC,335312,225.00,0.00,0.45,0.00,0.00
2017-06-30 09:27:56 UTC,335313,225.00,0.00,0.45,0.00,0.00
2017-06-30 09:29:02 UTC,335314,225.00,0.00,0.45,0.00,0.00
2017-06-30 09:30:07 UTC,335315,270.00,0.00,0.45,0.00,0.00
2017-06-30 09:32:18 UTC,335316,270.00,0.00,0.45,0.00,0.00
2017-06-30 09:33:22 UTC,335317,225.00,0.00,0.45,0.00,0.00
2017-06-30 09:34:28 UTC,335318,270.00,0.00,0.45,0.00,0.00
2017-06-30 09:35:33 UTC,335319,315.00,0.00,0.45,0.00,0.00
2017-06-30 09:36:38 UTC,335320,225.00,0.00,0.45,0.00,0.00
2017-06-30 09:37:44 UTC,335321,225.00,0.00,0.45,0.00,0.00
2017-06-30 09:38:49 UTC,335322,270.00,0.00,0.45,0.00,0.00
2017-06-30 09:39:54 UTC,335323,225.00,0.00,0.45,0.00,0.00
2017-06-30 09:41:01 UTC,335324,225.00,0.00,0.45,0.00,0.00
2017-06-30 09:42:05 UTC,335325,225.00,0.00,0.45,0.00,0.00
2017-06-30 09:43:10 UTC,335326,270.00,0.00,0.45,0.00,0.00
2017-06-30 09:44:15 UTC,335327,270.00,0.00,0.45,0.00,0.00
2017-06-30 09:45:21 UTC,335328,225.00,0.00,0.45,0.00,0.00
2017-06-30 09:46:26 UTC,335329,225.00,0.00,0.45,0.00,0.00
2017-06-30 09:47:31 UTC,335330,225.00,0.00,0.45,0.00,0.00
2017-06-30 09:48:37 UTC,335331,270.00,0.00,0.45,0.00,0.00
2017-06-30 09:49:42 UTC,335332,270.00,0.00,0.45,0.00,0.00
2017-06-30 09:50:47 UTC,335333,270.00,0.00,0.45,0.00,0.00
2017-06-30 09:51:53 UTC,335334,180.00,0.00,0.45,0.00,0.00
2017-06-30 09:52:57 UTC,335335,270.00,0.00,0.45,0.00,0.00
2017-06-30 09:54:03 UTC,335336,270.00,0.00,0.45,0.00,0.00
2017-06-30 09:55:09 UTC,335337,225.00,0.00,0.45,0.00,0.00
2017-06-30 09:56:14 UTC,335338,270.00,0.00,0.45,0.00,0.00
2017-06-30 09:57:18 UTC,335339,315.00,0.00,0.45,0.00,0.00
2017-06-30 09:58:24 UTC,335340,270.00,0.00,0.45,0.00,0.00
2017-06-30 09:59:29 UTC,335341,225.00,0.00,0.45,0.00,0.00
2017-06-30 10:00:34 UTC,335342,225.00,0.00,0.45,0.00,0.00
2017-06-30 10:01:40 UTC,335343,225.00,0.00,0.45,0.00,0.00
2017-06-30 10:02:45 UTC,335344,270.00,0.00,0.89,0.00,0.00
2017-06-30 10:03:50 UTC,335345,225.00,0.00,0.89,0.00,0.00
2017-06-30 10:04:55 UTC,335346,270.00,0.00,0.89,0.00,0.00
2017-06-30 10:06:01 UTC,335347,225.00,0.00,0.89,0.00,0.00
2017-06-30 10:07:06 UTC,335348,270.00,0.00,0.89,0.00,0.00
2017-06-30 10:08:11 UTC,335349,270.00,0.00,0.89,0.00,0.00
2017-06-30 10:09:18 UTC,335350,270.00,0.00,0.45,0.00,0.00
2017-06-30 10:10:24 UTC,335351,225.00,0.00,0.45,0.00,0.00
2017-06-30 10:11:27 UTC,335352,225.00,0.00,0.45,0.00,0.00
2017-06-30 10:12:33 UTC,335353,225.00,0.00,0.45,0.00,0.00
2017-06-30 10:13:38 UTC,335354,270.00,0.00,0.45,0.00,0.00
2017-06-30 10:14:43 UTC,335355,270.00,0.00,0.45,0.00,0.00
2017-06-30 10:15:48 UTC,335356,225.00,0.00,0.45,0.00,0.00
2017-06-30 10:16:53 UTC,335357,225.00,0.00,0.45,0.00,0.00
2017-06-30 10:17:59 UTC,335358,270.00,0.00,0.45,0.00,0.00
2017-06-30 10:19:04 UTC,335359,270.00,0.00,0.45,0.00,0.00
2017-06-30 10:20:10 UTC,335360,225.00,0.00,0.45,0.00,0.00
2017-06-30 10:21:16 UTC,335361,225.00,0.00,0.45,0.00,0.00
2017-06-30 10:22:20 UTC,335362,225.00,0.00,0.45,0.00,0.00
2017-06-30 10:24:30 UTC,335363,270.00,0.00,0.45,0.00,0.00
2017-06-30 10:25:36 UTC,335364,225.00,0.00,0.45,0.00,0.00
2017-06-30 10:26:41 UTC,335365,225.00,0.00,0.45,0.00,0.00
2017-06-30 10:27:46 UTC,335366,270.00,0.00,0.45,0.00,0.00
2017-06-30 10:28:52 UTC,335367,270.00,0.00,0.45,0.00,0.00
2017-06-30 10:29:57 UTC,335368,270.00,0.00,0.45,0.00,0.00
2017-06-30 10:31:02 UTC,335369,270.00,0.00,0.45,0.00,0.00
2017-06-30 10:32:09 UTC,335370,225.00,0.00,0.45,0.00,0.00
2017-06-30 10:33:13 UTC,335371,270.00,0.00,0.45,0.00,0.00
2017-06-30 10:34:18 UTC,335372,225.00,0.00,0.45,0.00,0.00
2017-06-30 10:35:24 UTC,335373,225.00,0.00,0.00,0.00,0.00
2017-06-30 10:36:29 UTC,335374,270.00,0.00,0.45,0.00,0.00
2017-06-30 10:37:34 UTC,335375,270.00,0.00,0.45,0.00,0.00
2017-06-30 10:38:40 UTC,335376,270.00,0.00,0.45,0.00,0.00
2017-06-30 10:39:45 UTC,335377,225.00,0.00,0.45,0.00,0.00
2017-06-30 10:41:55 UTC,335378,270.00,0.00,0.45,0.00,0.00
2017-06-30 10:43:00 UTC,335379,225.00,0.00,0.45,0.00,0.00
2017-06-30 10:44:06 UTC,335380,270.00,0.00,0.45,0.00,0.00
2017-06-30 10:45:11 UTC,335381,225.00,0.00,0.45,0.00,0.00
2017-06-30 10:46:16 UTC,335382,225.00,0.00,0.45,0.00,0.00
2017-06-30 10:47:21 UTC,335383,225.00,0.00,0.45,0.00,0.00
2017-06-30 10:48:27 UTC,335384,225.00,0.00,0.45,0.00,0.00
2017-06-30 10:49:32 UTC,335385,270.00,0.00,0.45,0.00,0.00
2017-06-30 10:50:38 UTC,335386,270.00,0.00,0.45,0.00,0.00
2017-06-30 10:51:42 UTC,335387,225.00,0.00,0.45,0.00,0.00
2017-06-30 10:52:48 UTC,335388,270.00,0.00,0.45,0.00,0.00
2017-06-30 10:53:53 UTC,335389,225.00,0.00,0.45,0.00,0.00
2017-06-30 10:54:59 UTC,335390,180.00,0.00,0.45,0.00,0.00
2017-06-30 10:56:04 UTC,335391,225.00,0.00,0.45,0.00,0.00
2017-06-30 10:57:09 UTC,335392,315.00,0.00,0.45,0.00,0.00
2017-06-30 10:58:14 UTC,335393,225.00,0.00,0.89,0.00,0.00
2017-06-30 10:59:20 UTC,335394,270.00,0.45,0.89,0.00,0.00
2017-06-30 11:00:25 UTC,335395,270.00,0.00,0.89,0.00,0.00
2017-06-30 11:01:30 UTC,335396,225.00,0.45,0.89,0.00,0.00
2017-06-30 11:02:36 UTC,335397,270.00,0.45,1.34,0.00,0.00
2017-06-30 11:03:41 UTC,335398,315.00,0.45,1.34,0.00,0.00
2017-06-30 11:04:46 UTC,335399,225.00,0.45,1.34,0.00,0.00
2017-06-30 11:05:51 UTC,335400,270.00,0.45,1.34,0.00,0.00
2017-06-30 11:06:58 UTC,335401,225.00,0.45,1.34,0.00,0.00
2017-06-30 11:08:03 UTC,335402,270.00,0.45,1.34,0.00,0.00
2017-06-30 11:09:08 UTC,335403,225.00,0.45,1.34,0.00,0.00
2017-06-30 11:10:13 UTC,335404,180.00,0.45,1.34,0.00,0.00
2017-06-30 11:11:18 UTC,335405,270.00,0.45,1.34,0.00,0.00
2017-06-30 11:12:23 UTC,335406,270.00,0.45,1.34,0.00,0.00
2017-06-30 11:13:28 UTC,335407,315.00,0.45,1.34,0.00,0.00
2017-06-30 11:14:33 UTC,335408,225.00,0.00,1.34,0.00,0.00
2017-06-30 11:15:39 UTC,335409,225.00,0.45,1.34,0.00,0.00
2017-06-30 11:16:44 UTC,335410,270.00,0.45,1.34,0.00,0.00
2017-06-30 11:18:55 UTC,335411,315.00,0.00,1.34,0.00,0.00
2017-06-30 11:20:00 UTC,335412,315.00,0.00,1.34,0.00,0.00
2017-06-30 11:21:05 UTC,335413,270.00,0.00,1.34,0.00,0.00
2017-06-30 11:22:10 UTC,335414,225.00,0.00,1.34,0.00,0.00
2017-06-30 11:23:16 UTC,335415,225.00,0.00,0.45,0.00,0.00
2017-06-30 11:24:21 UTC,335416,225.00,0.00,0.45,0.00,0.00
2017-06-30 11:25:26 UTC,335417,270.00,0.00,0.45,0.00,0.00
2017-06-30 11:26:32 UTC,335418,270.00,0.00,0.45,0.00,0.00
2017-06-30 11:27:37 UTC,335419,225.00,0.00,0.45,0.00,0.00
2017-06-30 11:28:42 UTC,335420,225.00,0.00,0.45,0.00,0.00
2017-06-30 11:29:47 UTC,335421,270.00,0.00,0.45,0.00,0.00
2017-06-30 11:30:54 UTC,335422,135.00,0.00,0.45,0.00,0.00
2017-06-30 11:33:04 UTC,335423,225.00,0.00,0.45,0.00,0.00
2017-06-30 11:34:09 UTC,335424,225.00,0.00,0.45,0.00,0.00
2017-06-30 11:35:19 UTC,335425,225.00,0.00,0.45,0.00,0.00
2017-06-30 11:36:19 UTC,335426,270.00,0.00,0.45,0.00,0.00
2017-06-30 11:37:24 UTC,335427,225.00,0.00,0.45,0.00,0.00
2017-06-30 11:38:30 UTC,335428,225.00,0.00,0.45,0.00,0.00
2017-06-30 11:39:35 UTC,335429,225.00,0.00,0.45,0.00,0.00
